Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Open/close % change,Total Volume/Shares Outstanding
EFA,20201118,1455350.0,37.0,15018046,B/Q/N,70.13,69.65,-0.005284,0.09690674805497333,-0.022200356811912667,-0.09591941727736165,-0.006844431769570652,0.020945670850767085
ELY,20201118,118134.0,12526.0,1843017,B/Q/N,18.21,18.07,-0.0027589999999999997,0.06409816078744797,-0.1536213662499602,-0.5167867216418298,-0.007688083470620569,0.019569185228720625
ENB,20201118,804223.0,2455.0,6456332,B/Q/N,29.75,29.08,-0.020215999999999998,0.12456345181753355,-0.0025412642826827953,-0.26425025874130814,-0.022521008403361402,0.0031879672268322907
ENPH,20201118,477399.0,318.0,1920648,B/Q/N,126.1787,124.92,-0.001598,0.24856142301973083,0.039678763433124126,-0.34581608306695116,-0.009975534698011665,0.015203110691164852
EOG,20201118,518100.0,2916.0,5104298,B/Q/N,46.2,44.93,-0.016203000000000002,0.10150269439597766,-0.014484020408708373,-0.2837812011960605,-0.027489177489177556,0.008749548502773359
EPD,20201118,1946411.0,17968.0,11247234,B/Q/N,19.14,18.88,-0.012552,0.1730568600244291,0.013020556199737687,0.3570779426996107,-0.013584117032392975,0.005152472401473979
EQT,20201118,475176.0,11128.0,5141751,Q/N,14.61,14.4,-0.002079,0.09241521030481639,-0.03193372513927353,0.1514207253674838,-0.014373716632443469,0.018656650523407342
ERIC,20201118,782582.0,3400.0,4771300,B/Q/N,12.05,11.97,-0.008285,0.16401861127994466,0.02377184395247406,-0.2794099235219733,-0.006639004149377599,0.0015529574915256555
ET,20201118,4197677.0,9393.0,29121585,B/Q/N,5.7,5.65,0.003552,0.1441431501753768,0.0064034109512911275,0.634878744858721,-0.008771929824561372,0.01079490195457674
EWZ,20201118,4663554.0,47878.0,34950157,B/Q/N,32.88,32.37,-0.018793999999999998,0.13343442205424141,0.05506489683074331,0.3912900775826836,-0.015510948905109644,0.2020240289017341
EXC,20201118,995827.0,2546.0,5759432,B/Q/N,43.19,42.7,-0.008591,0.17290368216865828,0.00480320286363356,-0.020951660840527894,-0.01134521880064818,0.005903643469280662
F,20201118,12215170.0,24347.0,77759269,B/Q/N,8.82,8.82,0.008,0.15708956831885856,-0.04123063573689037,0.027957684549024142,0.0,0.019899621465616784
FANG,20201118,1004506.0,10347.0,5090168,B/Q/N,37.75,37.74,0.011525,0.19734240598738587,0.02819512068998714,0.1638465849318166,-0.00026490066225160294,0.03222183080425631
FAZ,20201118,1520287.0,15627.0,5949735,B/Q/N,9.01,9.35,0.026345,0.25552180055078083,0.0548858572103563,0.4805503015107014,0.03773584905660376,0.24261994726553102
FB,20201118,2167937.0,36919.0,12152945,B/Q/N,274.52,271.97,-0.011017999999999998,0.17838778995543877,-0.05407738509696164,-0.18747171047573202,-0.009288940696488251,0.005055366848344789
FCX,20201118,1068843.0,5322.0,12593082,B/Q/N,21.0,20.71,-0.015216,0.08487541016567668,0.006121161895666749,-0.31945093617985054,-0.013809523809523768,0.008667737434428
FITB,20201118,541595.0,807.0,5603842,Q/N,26.1,25.7,-0.013435999999999998,0.09664708605274738,0.018904421535344412,-0.06305355843197827,-0.015325670498084372,0.00786592547833306
FOXA,20201118,466950.0,282.0,4151498,B/Q/N,28.1,27.66,-0.017756,0.11247747198722004,-0.09558878682700252,-0.396292391520896,-0.01565836298932389,0.012299155275299992
FSLY,20201118,906114.0,17320.0,5823320,B/Q/N,79.38,81.06,0.034853,0.1556009286798596,-0.10635999239713448,0.08254877801217564,0.02116402116402125,0.056868359375
FSM,20201118,755111.0,7100.0,3227797,B/Q/N,6.63,6.37,-0.039216,0.23394005261173487,0.01791669546217367,0.08584135963423549,-0.039215686274509776,0.017523734413230987
FSR,20201118,3670131.0,60415.0,11366863,B/Q/N,16.54,17.01,0.035301,0.3228798482043815,-0.004417747623918333,0.7047434792813505,0.028415961305925178,0.07844410755467543
FTCH,20201118,491109.0,102307.0,6667998,B/Q/N,45.66,45.09,0.000666,0.0736516417671391,-0.005200299681553722,0.3053857750886979,-0.012483574244415095,0.022449828204557213
FXI,20201118,1077625.0,0.0,7892329,B/Q/N,47.43,47.15,-0.0044340000000000004,0.1365408107036592,-0.005506864267432854,-0.6037664416014639,-0.005903436643474618,0.10337038637851997
GDX,20201118,2776888.0,4335.0,26893335,B/Q/N,36.94,35.82,-0.030319,0.10325562076997888,0.01898193972947536,0.20270062921303894,-0.03031943692474276,0.06247689350160587
GDXJ,20201118,891255.0,3871.0,8673435,B/Q/N,52.89,51.63,-0.026951,0.10275686622428139,0.006745093287202408,0.1508408226672825,-0.02382302892796366,0.07804241785437466
GE,20201118,19443402.0,18899.0,148865809,B/Q/N,9.97,9.73,0.0051649999999999995,0.13061025987505298,0.008908735561910727,0.7024914794975977,-0.02407221664994987,0.016994060187858887
GEO,20201118,378963.0,4762.0,2415289,B/Q/N,9.51,9.39,-0.014690000000000002,0.15690172066365557,0.05973409911517713,-0.343989133522843,-0.012618296529968372,0.019909166866606896
GILD,20201118,1032117.0,11826.0,8884204,B/Q/N,61.04,60.9,-0.001148,0.11617439221341608,0.0440151503604833,0.21097380968056187,-0.0022935779816513854,0.0070873589931645005
GLD,20201118,638298.0,15268.0,7384661,B/Q/N,176.26,175.49,-0.0057220000000000005,0.08643565357976486,-0.02738321756940129,-0.18025367456919159,-0.004368546465448666,0.01737976229701106
GM,20201118,3593522.0,27905.0,27632541,B/Q/N,42.19,42.72,0.017627,0.13004674452487014,-0.021807451512718984,0.39269535708086445,0.012562218535197942,0.019305801911482897
GME,20201118,556182.0,3864.0,3169222,B/Q/N,11.8,11.57,-0.005159,0.17549480598077383,-0.1704949793146311,-0.3509109651087368,-0.01949152542372885,0.04863633664054648
GOLD,20201118,4045099.0,17650.0,28709809,B/Q/N,25.24,24.46,-0.035869,0.14089606099434518,0.020929056971287427,0.348289490152044,-0.03090332805071306,0.016146106324415797
