Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Previous close % change,Total Volume/Shares Outstanding
AMD,20201104,14195378.0,36072.0,66416752,B/Q/N,80.25,81.35,0.062287999999999996,0.2137318910144838,-0.0122510231937549,0.6108136721549625,0.013707165109034197,0.05522250712601818
AMWL,20201104,827594.0,4060.0,3256369,B/Q/N,26.55,29.38,0.13,0.25414625922307943,-0.08197029874997785,0.3600249755152244,0.10659133709981161,0.01643266216576455
AMZN,20201104,846343.0,11382.0,6805405,B/Q/N,3159.99,3241.1599,0.06323000000000001,0.1243633553036153,-0.015954292331688144,0.389459317092293,0.025686758502400427,0.013563306337037576
APA,20201104,3567595.0,12679.0,19223121,B/Q/N,8.749,8.99,0.029782000000000003,0.18558875013063694,-0.031187457341713853,0.843292721633387,0.0275460052577437,0.05092775246886907
APPS,20201104,1420330.0,10322.0,4798500,B/Q/N,35.25,37.3,0.088416,0.29599458164009584,-0.03147775606932873,-0.18281439166291863,0.058156028368794244,0.054099850363771185
APVO,20201104,6716052.0,488538.0,28464975,B/Q/N,10.03,16.98,0.5120210000000001,0.23594090632435125,-0.02311839474618696,-0.08523476017125681,0.6929212362911268,8.80502293514839
ARKK,20201104,1215104.0,7527.0,4363924,B/Q/N,95.93,97.51,0.046694000000000006,0.2784429793002811,0.14795528551231346,0.5528387126159312,0.016470342958407155,0.041072225882352945
ATVI,20201104,460953.0,1457.0,8631262,B/Q/N,78.93,79.37,0.040782,0.05340505247089012,0.010529119216409005,0.2655154359312487,0.005574559736475328,0.011167990888251883
AUY,20201104,3483358.0,124389.0,14382077,B/Q/N,5.75,5.56,-0.024561000000000003,0.24220131765391048,0.08563482645332887,0.1008565003498427,-0.03304347826086963,0.015097375556490987
AZN,20201104,1077229.0,11443.0,7380078,B/Q/N,53.95,55.04,0.06460300000000001,0.14596444644622997,0.06974393172971759,0.7752516657241254,0.02020389249304905,0.005623741549676565
AZUL,20201104,565132.0,6095.0,2505154,Q/N,11.99,12.34,0.038721,0.22558772833925578,-0.06840718680260743,-0.3220674454067819,0.029190992493744756,0.007598202235737752
BA,20201104,1976420.0,5023.0,11297812,B/Q/N,153.17,151.63,-0.013146999999999999,0.17493829778721756,-0.03575679019522912,-0.07771254210180058,-0.010054188156949743,0.02001278636036157
BABA,20201104,5169972.0,30859.0,28684179,B/Q/N,287.79,295.71,0.035508000000000005,0.18023775405947648,-0.037742085990715074,-0.5065722976306226,0.027520066715313107,0.0013252047133750335
BAC,20201104,9589819.0,24814.0,88601726,B/Q/N,23.89,23.68,-0.040907,0.10823512625476393,0.023423937142829032,0.3608810534795868,-0.008790288823775675,0.01024203906626608
BAX,20201104,766601.0,249.0,6719368,B/Q/N,78.16,75.67,-0.020579999999999998,0.11408825949107118,-0.0102473335503271,0.7646701345346124,-0.031857727737973324,0.013154122925697755
BBBY,20201104,602597.0,6100.0,5987760,B/Q/N,20.81,21.02,0.016933,0.10063813512899648,-0.04658795672422887,-0.04615759580024898,0.010091302258529595,0.047518805102705244
BCS,20201104,548804.0,9033.0,3868702,Q/N,5.74,5.63,-0.042517,0.14185739816610327,-0.056663019029229794,0.10107816634875531,-0.019163763066202145,0.00022290667656156308
BE,20201104,2370203.0,54446.0,9965718,B/Q/N,13.9,13.8,-0.049587000000000006,0.23783564816905314,-0.04516653699050224,0.06638675451533833,-0.007194244604316521,0.09660253350657141
BHC,20201104,787147.0,1430.0,5420379,B/Q/N,16.47,16.81,0.031921,0.14521991912373655,-0.06296405305217606,-0.5840859227609485,0.02064359441408621,0.01526896743587961
BK,20201104,563688.0,778.0,7630290,B/Q/N,35.13,34.7,-0.035843,0.07387504275722155,-0.006422914166148139,0.2692879099681559,-0.01224025049814972,0.008610743723311094
BKLN,20201104,3056886.0,0.0,10712054,Q/N,21.65,21.66,0.001387,0.2853688004186685,0.06488834603830845,-0.004681374673784385,0.0004618937644342524,0.058440010911074744
BKR,20201104,1298524.0,550.0,7658393,B/Q/N,15.74,15.66,-0.013854,0.16955567571421315,0.04638344179034985,-0.11061157355723063,-0.0050825921219822155,0.011166816883850036
BLNK,20201104,825034.0,7961.0,3377677,B/Q/N,9.3495,8.93,-0.024044,0.2442607744908705,0.06344940787789036,0.08346353995421303,-0.0448687095566609,0.10639324536729339
BMY,20201104,1736509.0,22901.0,24689512,B/Q/N,63.96,65.43,0.068419,0.07033387294167662,-0.03009381114740052,0.7343042538357928,0.022983114446529174,0.010953960960806657
BND,20201104,1525036.0,19.0,5667229,B/Q/N,88.07,88.13,0.006855,0.26909729605068017,0.12702860463812296,0.4220014658543997,0.0006812762575224513,0.007774797694754647
