Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Exchange,Open,Close,VIX Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Open/close % change,Total Volume/Shares Outstanding
ACWI,20201201,371405.0,0.0,4099765.0,B/Q/N,NASDAQ,88.4,88.57,20.77,0.8856999999999999,0.09059177782141171,-0.6515514592436861,-0.6116320592050657,0.0019230769230767816,0.025401270136307313
ACWX,20201201,248892.0,0.0,2837570.0,B/Q/N,NASDAQ,51.49,51.74,20.77,0.5174,0.0877130784438798,-0.19127040375870827,-0.31166487602874754,0.004855311711011847,0.040306392045454546
ADBE,20201201,198723.0,1936.0,2533070.0,B/Q/N,NASDAQ,482.01,479.15,20.77,4.7915,0.07845144429486749,-0.27196337565220413,-0.09109763164457266,-0.005933486857119175,0.0052803205413282555
ADI,20201201,203642.0,0.0,3161120.0,B/Q/N,NASDAQ,140.0,140.73,20.77,1.4073,0.0644208381839348,-0.4227649019207672,0.05000086361866851,0.005214285714285641,0.00855547820372491
ADM,20201201,141698.0,248.0,2372998.0,B/Q/N,NYSE,50.19,50.11,20.77,0.5011,0.05971265041099908,-0.3795970455510574,-0.09596253403477252,-0.001593943016537125,0.004264997674316196
ADNT,20201201,172463.0,311.0,2044952.0,B/Q/N,NYSE,32.99,33.12,20.77,0.3312,0.08433596485394278,-0.5101136143250268,0.05068748429711981,0.003940588056986828,0.02177946819765686
ADP,20201201,171051.0,645.0,2270460.0,B/Q/N,NASDAQ,175.16,174.67,20.77,1.7467,0.07533759678655427,-0.44933658635820617,-0.20232970906040126,-0.002797442338433484,0.005294743187710157
ADS,20201201,226081.0,500.0,1017844.0,B/Q/N,NYSE,74.93,76.23,20.77,0.7623000000000001,0.22211753471062362,-0.25978245542369066,-0.11444776311588156,0.01734952622447614,0.021328708080150565
ADSK,20201201,136352.0,9.0,1753763.0,B/Q/N,NASDAQ,281.87,279.11,20.77,2.7911,0.07774824762524925,-0.4168617491463634,-0.32865895859937955,-0.00979174796892181,0.007997854497661093
ADT,20201201,265031.0,600.0,2518861.0,B/Q/N,NYSE,7.83,7.76,20.77,0.0776,0.1052185888780683,-0.18672533629343951,-0.1325573098218941,-0.008939974457215873,0.003309492326067952
AEE,20201201,165634.0,100.0,1246076.0,B/Q/N,NYSE,78.3,78.51,20.77,0.7851,0.13292447651668116,-0.31838059714045785,-0.12175992523432991,0.0026819923371648527,0.005040618230444935
AEL,20201201,61655.0,100.0,1182675.0,B/Q/N,NYSE,26.63,26.98,20.77,0.2698,0.05213181981524933,-0.31040239243562767,-0.28783347945891785,0.013143071723620031,0.012852783462383536
AEM,20201201,327160.0,1816.0,2245700.0,B/Q/N,NYSE,67.87,68.8,20.77,0.688,0.1456828605779935,-0.26510756633770244,0.5950310206081957,0.013702666863120562,0.009241897977603001
AEO,20201201,1518089.0,1756.0,7148701.0,B/Q/N,NYSE,18.11,17.9,20.77,0.179,0.21235872083613513,-0.2960193434794376,0.49910718760635897,-0.011595803423522963,0.04303491416493216
AEP,20201201,308141.0,6944.0,3362648.0,B/Q/N,NASDAQ,85.23,85.21,20.77,0.8521,0.09163641273187083,-0.2786473759149095,-0.03497636979972013,-0.00023465915757374435,0.006774212125108987
AER,20201201,144962.0,1400.0,2491954.0,B/Q/N,NYSE,37.74,37.4,20.77,0.374,0.05817202083184521,-0.3261671011105566,-0.886206300551969,-0.0090090090090091,0.01920483235794695
AES,20201201,458010.0,406.0,5935405.0,B/Q/N,NYSE,20.66,20.6,20.77,0.20600000000000002,0.077165753642759,-0.22020466868093197,-0.2582384897341463,-0.002904162633107392,0.008923661172457976
AFL,20201201,192717.0,654.0,4043134.0,B/Q/N,NYSE,44.94,44.7,20.77,0.447,0.047665251757671154,-0.35017826305256894,-0.31684373001437066,-0.005340453938584666,0.005755799514309475
AFMD,20201201,148530.0,9111.0,1404876.0,B/Q/N,NASDAQ,5.36,5.3,20.77,0.053,0.10572463334842364,-0.178993567579669,0.3289428627104503,-0.01119402985074636,0.018424627200499578
AG,20201201,1264125.0,4990.0,6469466.0,B/Q/N,NYSE,10.9,11.03,20.77,0.1103,0.1953986619606626,-0.4587844441248994,0.028316319677956243,0.011926605504587065,0.02924215167734962
AGG,20201201,996413.0,347.0,5190827.0,B/Q/N,Pacific,118.03,117.84,20.77,1.1784000000000001,0.1919565032700955,-0.356447525345547,-0.4025677666799178,-0.0016097602304498664,0.0073743813041625235
AGI,20201201,249043.0,1920.0,3159246.0,B/Q/N,NYSE,8.55,8.69,20.77,0.08689999999999999,0.07882988535872167,-0.19168188378897932,0.600325612283303,0.016374269005847812,0.00804498279808994
AGNC,20201201,1091686.0,28543.0,6343975.0,B/Q/N,NASDAQ,15.49,15.34,20.77,0.1534,0.17208233008484428,-0.3858267575541675,-0.39376936942687757,-0.009683666881859287,0.011635804081772887
AGQ,20201201,474611.0,3203.0,2175232.0,B/Q/N,Pacific,41.19,42.65,20.77,0.4265,0.21818868056372837,-0.16870984736745198,0.24539938417990467,0.03544549647972811,0.15430979235593223
AIG,20201201,572519.0,5745.0,6245868.0,B/Q/N,NYSE,39.5,39.31,20.77,0.3931,0.09166364066611718,-0.2075650257451818,-0.028039611257425243,-0.004810126582278423,0.007249775315475371
