Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market
20200918,AGTC,19561,300,65193,Q/N
20200918,AGX,17133,11963,19596,Q/N
20200918,AGYS,15344,0,32957,Q/N
20200918,AGZ,6917,0,22477,Q/N
20200918,AGZD,1689,0,43310,Q/N
20200918,AHACU,79524,0,879566,Q/N
20200918,AHC,3656,0,25089,Q/N
20200918,AHCO,85295,0,293951,Q/N
20200918,AHH,29400,0,55836,B/Q/N
20200918,AHHpA,4510,0,10272,Q/N
20200918,AHLpC,3277,0,9054,Q
20200918,AHLpD,3968,0,4472,B/Q
20200918,AHLpE,3262,800,4839,Q/N
20200918,AHPI,18124,1340,55071,Q/N
20200918,AHT,528648,3154,922646,B/Q/N
20200918,AHTpD,15203,0,18462,Q/N
20200918,AHTpF,25597,100,38491,Q/N
20200918,AHTpG,21613,0,27908,Q/N
20200918,AHTpH,24366,0,34768,Q/N
20200918,AHTpI,34076,0,44674,Q/N
20200918,AI,23126,1300,109679,Q/N
20200918,AIA,8707,0,14271,Q/N
20200918,AIC,700,0,1500,Q
20200918,AIEQ,1927,0,3749,Q/N
20200918,AIF,16206,4,33653,Q/N
20200918,AIG,568162,0,1685553,B/Q/N
20200918,AIG/WS,13417,0,97747,Q/N
20200918,AIGpA,3922,0,9866,Q/N
20200918,AIH,1070,100,2951,Q/N
20200918,AIHS,66099,1171,148546,Q/N
20200918,AIIQ,7,0,14,Q/N
20200918,AIKI,656637,4026,1328726,B/Q/N
20200918,AIM,274165,600,608325,B/Q/N
20200918,AIMC,34246,0,131179,Q/N
20200918,AIMT,106168,2383,341667,B/Q/N
20200918,AIN,29833,585,49371,B/Q/N
20200918,AINC,437,0,1049,Q/N
20200918,AINV,150202,1940,282750,B/Q/N
20200918,AIO,9635,0,40119,Q/N
20200918,AIQ,7498,0,8591,Q/N
20200918,AIR,34282,236,124021,B/Q/N
20200918,AIRG,11921,299,18431,Q/N
20200918,AIRI,7171,0,10602,Q/N
20200918,AIRR,1530,0,2072,Q/N
20200918,AIRT,496,0,646,Q/N
20200918,AIRTW,9281,0,41044,Q/N
20200918,AIT,11734,400,32613,B/Q/N
20200918,AIV,247784,131,634418,B/Q/N
20200918,AIZ,40687,0,81308,B/Q/N
20200918,AIpC,100,0,500,Q
20200918,AJG,90770,203,220646,Q/N
20200918,AJRD,27715,2,177491,Q/N
20200918,AJX,14758,0,20464,Q/N
20200918,AJXA,6,0,131,Q
20200918,AKAM,236562,10,377821,B/Q/N
20200918,AKBA,2033542,18128,3297133,B/Q/N
20200918,AKCA,23207,0,302179,Q/N
20200918,AKER,451482,7070,811660,Q/N
20200918,AKO/A,154,0,366,Q/N
20200918,AKO/B,80,0,139,Q
20200918,AKR,85226,520,139373,B/Q/N
20200918,AKRO,23970,10,37902,B/Q/N
20200918,AKTS,52606,1900,79132,Q/N
20200918,AKTX,22412,700,61225,B/Q/N
20200918,AKU,1825,0,43825,Q
20200918,AKUS,80879,104,205585,B/Q/N
20200918,AL,178437,0,301552,B/Q/N
20200918,ALACW,25640,1000,38665,Q/N
20200918,ALB,92431,870,286614,B/Q/N
20200918,ALBO,22637,0,61237,B/Q/N
20200918,ALC,397066,42,658337,Q/N
20200918,ALCO,2393,0,3044,Q/N
20200918,ALDX,92309,0,276929,Q/N
20200918,ALE,132551,3331,180469,B/Q/N
20200918,ALEC,242950,980,366310,Q/N
20200918,ALEX,39249,955,63603,Q/N
20200918,ALFA,156,0,186,Q/N
20200918,ALG,11346,0,11781,Q/N
20200918,ALGN,99233,91,165007,B/Q/N
20200918,ALGT,29466,0,51510,Q/N
20200918,ALIM,1726,0,4325,Q/N
20200918,ALINpA,938,0,2368,Q/N
20200918,ALINpB,1942,0,4842,Q/N
20200918,ALINpE,1052,0,1793,Q/N
20200918,ALJJ,47218,0,65807,Q/N
20200918,ALK,342435,4315,737963,B/Q/N
20200918,ALKS,362407,900,850812,B/Q/N
20200918,ALL,147253,3675,335360,B/Q/N
20200918,ALLE,184863,333,381460,B/Q/N
20200918,ALLK,13409,0,23005,Q/N
20200918,ALLO,133725,0,253806,B/Q/N
20200918,ALLT,48445,0,584957,B/Q/N
20200918,ALLY,706665,73,1432039,Q/N
20200918,ALLYpA,20905,1100,55065,Q/N
20200918,ALLpB,1694,0,4923,Q/N
20200918,ALLpG,2764,0,5372,Q/N
20200918,ALLpH,31112,1000,64689,Q/N
20200918,ALLpI,3677,1764,6174,Q/N
20200918,ALNA,177883,400,405359,Q/N
20200918,ALNY,76579,0,158788,Q/N
20200918,ALOT,3217,0,5535,Q/N
20200918,ALPN,44141,700,60475,Q/N
20200918,ALPpQ,2127,0,3173,Q/N
20200918,ALRM,31369,6,65293,B/Q/N
20200918,ALRN,150628,0,353231,B/Q/N
20200918,ALRS,8484,0,15038,Q/N
20200918,ALSK,19090,0,33795,Q/N
20200918,ALSN,99945,0,247309,B/Q/N
20200918,ALT,355542,6700,717324,B/Q/N
20200918,ALTA,15743,0,35711,Q/N
20200918,ALTG,29585,0,57573,Q/N
20200918,ALTG/WS,1800,0,4800,Q
20200918,ALTL,261,0,811,Q
20200918,ALTM,766,0,1678,B/Q
20200918,ALTR,33927,0,61422,Q/N
20200918,ALTS,2,0,3,Q
20200918,ALTY,5632,0,9002,Q/N
20200918,ALUS,230,0,1274,Q
20200918,ALUS/WS,830,0,1055,Q
20200918,ALV,121728,0,146038,B/Q/N
20200918,ALVR,147432,193,243801,B/Q/N
20200918,ALX,1010,0,2603,Q/N
20200918,ALXN,214488,120,431751,B/Q/N
20200918,ALXO,68684,0,110010,B/Q/N
20200918,ALYA,129,0,1811,Q/N
20200918,ALpA,4995,0,7110,Q
20200918,AM,574336,10491,1355531,B/Q/N
20200918,AMAG,72592,0,92166,B/Q/N
20200918,AMAL,15802,0,134578,B/Q/N
20200918,AMAT,632513,11177,1987414,B/Q/N
20200918,AMBA,87315,0,183483,B/Q/N
20200918,AMBC,26767,0,55138,Q/N
20200918,AMBC/WS,3921,0,7035,Q/N
20200918,AMBO,3200,60,4527,Q/N
20200918,AMC,291262,16962,1079196,B/Q/N
20200918,AMCI,3981,0,4237,Q/N
20200918,AMCIW,52479,700,70949,Q/N
20200918,AMCR,1529630,800,2497982,B/Q/N
20200918,AMCX,89356,405,202060,B/Q/N
20200918,AMD,12032122,71736,26704613,B/Q/N
20200918,AME,45309,24,93263,B/Q/N
20200918,AMED,11613,106,30817,B/Q/N
20200918,AMEH,29233,436,40100,Q/N
20200918,AMG,44120,0,59232,B/Q/N
20200918,AMGN,450270,144,687512,B/Q/N
20200918,AMH,303086,100,444770,B/Q/N
20200918,AMHCW,800,0,1300,N
20200918,AMHpD,1836,0,2437,Q/N
20200918,AMHpE,147,0,1404,Q
20200918,AMHpF,121,0,121,Q
20200918,AMHpH,755,0,979,Q/N
20200918,AMJ,109209,5400,383880,Q/N
20200918,AMK,24190,0,37377,Q/N
20200918,AMKR,135990,51,286077,Q/N
20200918,AMLP,341865,1559,695675,Q/N
20200918,AMN,55719,0,98091,B/Q/N
20200918,AMNB,6229,0,8693,Q/N
20200918,AMOM,116,0,274,Q/N
20200918,AMOT,2213,0,5393,Q/N
20200918,AMOV,59,0,419,Q/N
20200918,AMP,83132,0,123983,Q/N
20200918,AMPE,1224174,25760,2395327,Q/N
