Date,User,Text,
2020-08-21 22:48:40,Daniel W Jermy BSc MSc #AllLivesMatter,More scaremongering bull shit,
2020-08-21 22:48:40,Dan Nelson,RT @toddeherman: The technocrat in charge of the corrupt @WHO says, even after they try to force people to take the magical vaccine 99.74%…,
2020-08-21 22:48:42,Benjamin Oscar,Just stay home guys and wait till a vaccine becomes available.,
2020-08-21 22:48:43,Nagasaki, Akira,RT @AliNouriPhD: In the US, two monoclonal antibody candidates are entering phase III trials. Most of the conversation has been on vaccines…,
2020-08-21 22:48:44,Tracy🌊🌊🌊,RT @ASlavitt: Perhaps the biggest harm is to our ability to trust the FDA can be kept free from political interference as a vaccine comes o…,
2020-08-21 22:48:44,chingTe,Vaccine provisionhttps://t.co/jZYJ4kV7Ib,
2020-08-21 22:48:45,Dominick Buscemi,Major COVID Vaccine Manufacturer Exposed &amp; Governments Know That Pandemi... https://t.co/IY3cg0izY8 via @YouTube,
2020-08-21 22:48:45,Gertjan Souverein,RT @_whitneywebb: New for @TLAVagabond - The company set to manufacture the Covid-19 vaccine for the US, Emergent Biosolutions, has been…,
2020-08-21 22:48:45,Brian Dodson,RT @HaveWeAllGoneM1: Anti-vaxxers, anti-maskers file $11M lawsuit against TrudeauGroup accuses the WHO, mainstream media &amp; federal govern…,
2020-08-21 22:48:46,Val,RT @lienomail: Renowned EU Scientist: 'China Virus definitely wasn’t a freak of nature that happened to cross the species barrier from bat…,
2020-08-21 22:48:47,Josh Millman,Everyone in the US right now: VOTE! MASK! WORK! SCHOOL! RUSSIA! CORRUPTION! VACCINE! OPEN! CLOSE! LOVE! HATE! FAHK!… https://t.co/ibzjcZpGEi,
